id,time,group,number,item,value,cond
75456215,1029,L2,14,Вика потеряла книгу ОНА ИЩЕТ СВОЮ КНИГУ.,4,refl3
75456215,1029,L2,16,Коля потерял ключ ОН ИЩЕТ ЕГО КЛЮЧ.,4,prn3
75456215,1029,L2,17,Книги городам русских о.  ,1,ungram
75456215,1029,L2,18,Анна купила квартиру ОНА ЛЮБИТ ЕЁ КВАРТИРУ.,4,prn3
75456215,1029,L2,20,Я ищу свой паспорт. ,5,refl1
75456215,1029,L2,21,Анна купила собаку ОНА ЛЮБИТ СВОЮ СОБАКУ.,5,refl3
75456215,1029,L2,23,Я убираю мою комнату. ,3,prn1
75456215,1029,L2,27,Дима купил велосипед ОН ЛЮБИТ СВОЙ ВЕЛОСИПЕД.,5,refl3
75456215,1029,L2,28,Учителя русский были хорошими языка. ,1,ungram
75456215,1029,L2,32,Петя ел рыба картошка c. ,1,ungram
75456215,1029,L2,33,Я  убираю свой дом. ,5,refl1
75456215,1029,L2,35,Столе лежат и книги журналы на. ,1,ungram
75456215,1029,L2,37,Я читаю мою книгу.   ,5,prn1
75456215,1029,L2,39,Я  ищу  свою сумку.  ,4,refl1
75456215,1029,L2,41,Библиотеке читают студенты книги  в. ,1,ungram
75456215,1029,L2,45,Большом в живет городе много  людей. ,1,ungram
75456215,1029,L2,47,Я убираю мой дом. ,3,prn1
75456215,1029,L2,49,Дима купил дом ОН ЛЮБИТ СВОЙ ДОМ.,5,refl3
75456215,1029,L2,51,Я читаю свою книгу. ,5,refl1
75456215,1029,L2,52,Машину в Дима новый среду купить. ,1,ungram
75456215,1029,L2,53,Коля потерял ключ. ОН ИЩЕТ СВОЙ КЛЮЧ. ,5,refl3
75456215,1029,L2,55,Дима купил велосипед ОН ЛЮБИТ ЕГО ВЕЛОСИПЕД.,3,prn3
75456215,1029,L2,56,Бассейне я в плавать люблю. ,1,ungram
75456215,1029,L2,57,Я ищу мой паспорт. ,5,prn1
75456215,1029,L2,59,Коля потерял телефон ОН ИЩЕТ СВОЙ ТЕЛЕФОН.,5,refl3
75456215,1029,L2,60,Дерево белка на живет большом. ,1,ungram
75456215,1029,L2,62,Я  продаю мою машину. ,4,prn1
75456215,1029,L2,63,Часто я гуляю парк в. ,2,ungram
75456215,1029,L2,64,Вика потеряла книгу ОНА ИЩЕТ ЕЕ КНИГУ.,4,prn3
75456215,1029,L2,66,Мальчик в играет парке маленький. ,2,ungram
75456215,1029,L2,68,День Лена читает каждый книгу. ,1,ungram
75456215,1029,L2,70,Анна купила собаку ОНА ЛЮБИТ ЕЕ СОБАКУ.,5,prn3
75456215,1029,L2,71,Вчера собака Петя терять своя. ,2,ungram
75456215,1029,L2,72,Я читаю мой учебник. ,5,prn1
75456215,1029,L2,73,Летела по самолет небу большая.        ,2,ungram
75456215,1029,L2,74,Дима купил дом ОН ЛЮБИТ ЕГО ДОМ.,4,prn3
75456215,1029,L2,76,Я  убираю свою комнату. ,5,refl1
75456215,1029,L2,77,Фильмы известных без aктер были cкучными. ,2,ungram
75456215,1029,L2,78,Анна купила квартиру ОНА ЛЮБИТ СВОЮ КВАРТИРУ.,5,refl3
75456215,1029,L2,79,Я ем мой завтрак. ,3,prn1
75456215,1029,L2,80,Вика потеряла кошку ОНА ПОТЕРЯЛА ЕЕ КОШКУ.,4,prn3
75457009,1640,L2,1,Вика потеряла кошку ОНА ИЩЕТ СВОЮ КОШКУ.,5,refl3
75457009,1640,L2,3,Обед на ест суп редко Петя. ,1,ungram
75457009,1640,L2,4,Я ем свой завтрак. ,4,refl1
75457009,1640,L2,7,Коля потерял телефон ОН ИЩЕТ ЕГО ТЕЛЕФОН.,2,prn3
75457009,1640,L2,8,Я продаю свою машину. ,5,refl1
75457009,1640,L2,10,Я читаю свой учебник. ,3,refl1
75457009,1640,L2,12,Я  ищу мою сумку.             ,5,prn1
75457009,1640,L2,14,Вика потеряла книгу ОНА ИЩЕТ СВОЮ КНИГУ.,5,refl3
75457009,1640,L2,16,Коля потерял ключ ОН ИЩЕТ ЕГО КЛЮЧ.,2,prn3
75457009,1640,L2,17,Книги городам русских о.  ,1,ungram
75457009,1640,L2,18,Анна купила квартиру ОНА ЛЮБИТ ЕЁ КВАРТИРУ.,3,prn3
75457009,1640,L2,20,Я ищу свой паспорт. ,5,refl1
75457009,1640,L2,21,Анна купила собаку ОНА ЛЮБИТ СВОЮ СОБАКУ.,5,refl3
75457009,1640,L2,23,Я убираю мою комнату. ,5,prn1
75457009,1640,L2,27,Дима купил велосипед ОН ЛЮБИТ СВОЙ ВЕЛОСИПЕД.,5,refl3
75457009,1640,L2,28,Учителя русский были хорошими языка. ,1,ungram
75457009,1640,L2,32,Петя ел рыба картошка c. ,1,ungram
75457009,1640,L2,33,Я  убираю свой дом. ,5,refl1
75457009,1640,L2,35,Столе лежат и книги журналы на. ,1,ungram
75457009,1640,L2,37,Я читаю мою книгу.   ,5,prn1
75457009,1640,L2,39,Я  ищу  свою сумку.  ,5,refl1
75457009,1640,L2,41,Библиотеке читают студенты книги  в. ,1,ungram
75457009,1640,L2,45,Большом в живет городе много  людей. ,1,ungram
75457009,1640,L2,47,Я убираю мой дом. ,5,prn1
75457009,1640,L2,49,Дима купил дом ОН ЛЮБИТ СВОЙ ДОМ.,5,refl3
75457009,1640,L2,51,Я читаю свою книгу. ,3,refl1
75457009,1640,L2,52,Машину в Дима новый среду купить. ,1,ungram
75457009,1640,L2,53,Коля потерял ключ. ОН ИЩЕТ СВОЙ КЛЮЧ. ,5,refl3
75457009,1640,L2,55,Дима купил велосипед ОН ЛЮБИТ ЕГО ВЕЛОСИПЕД.,3,prn3
75457009,1640,L2,56,Бассейне я в плавать люблю. ,1,ungram
75457009,1640,L2,57,Я ищу мой паспорт. ,5,prn1
75457009,1640,L2,59,Коля потерял телефон ОН ИЩЕТ СВОЙ ТЕЛЕФОН.,5,refl3
75457009,1640,L2,60,Дерево белка на живет большом. ,1,ungram
75457009,1640,L2,62,Я  продаю мою машину. ,5,prn1
75457009,1640,L2,63,Часто я гуляю парк в. ,1,ungram
75457009,1640,L2,64,Вика потеряла книгу ОНА ИЩЕТ ЕЕ КНИГУ.,3,prn3
75457009,1640,L2,66,Мальчик в играет парке маленький. ,1,ungram
75457009,1640,L2,68,День Лена читает каждый книгу. ,1,ungram
75457009,1640,L2,70,Анна купила собаку ОНА ЛЮБИТ ЕЕ СОБАКУ.,3,prn3
75457009,1640,L2,71,Вчера собака Петя терять своя. ,1,ungram
75457009,1640,L2,72,Я читаю мой учебник. ,5,prn1
75457009,1640,L2,73,Летела по самолет небу большая.        ,1,ungram
75457009,1640,L2,74,Дима купил дом ОН ЛЮБИТ ЕГО ДОМ.,3,prn3
75457009,1640,L2,76,Я  убираю свою комнату. ,5,refl1
75457009,1640,L2,77,Фильмы известных без aктер были cкучными. ,1,ungram
75457009,1640,L2,78,Анна купила квартиру ОНА ЛЮБИТ СВОЮ КВАРТИРУ.,5,refl3
75457009,1640,L2,79,Я ем мой завтрак. ,5,prn1
75457009,1640,L2,80,Вика потеряла кошку ОНА ПОТЕРЯЛА ЕЕ КОШКУ.,3,prn3
75457071,574,L2,1,Вика потеряла кошку ОНА ИЩЕТ СВОЮ КОШКУ.,5,refl3
75457071,574,L2,3,Обед на ест суп редко Петя. ,1,ungram
75457071,574,L2,4,Я ем свой завтрак. ,5,refl1
75457071,574,L2,7,Коля потерял телефон ОН ИЩЕТ ЕГО ТЕЛЕФОН.,5,prn3
75457071,574,L2,8,Я продаю свою машину. ,5,refl1
75457071,574,L2,10,Я читаю свой учебник. ,5,refl1
75457071,574,L2,12,Я  ищу мою сумку.             ,5,prn1
75457071,574,L2,14,Вика потеряла книгу ОНА ИЩЕТ СВОЮ КНИГУ.,5,refl3
75457071,574,L2,16,Коля потерял ключ ОН ИЩЕТ ЕГО КЛЮЧ.,5,prn3
75457071,574,L2,17,Книги городам русских о.  ,1,ungram
75457071,574,L2,18,Анна купила квартиру ОНА ЛЮБИТ ЕЁ КВАРТИРУ.,4,prn3
75457071,574,L2,20,Я ищу свой паспорт. ,5,refl1
75457071,574,L2,21,Анна купила собаку ОНА ЛЮБИТ СВОЮ СОБАКУ.,4,refl3
75457071,574,L2,23,Я убираю мою комнату. ,5,prn1
75457071,574,L2,27,Дима купил велосипед ОН ЛЮБИТ СВОЙ ВЕЛОСИПЕД.,4,refl3
75457071,574,L2,28,Учителя русский были хорошими языка. ,1,ungram
75457071,574,L2,32,Петя ел рыба картошка c. ,1,ungram
75457071,574,L2,33,Я  убираю свой дом. ,5,refl1
75457071,574,L2,35,Столе лежат и книги журналы на. ,2,ungram
75457071,574,L2,37,Я читаю мою книгу.   ,5,prn1
75457071,574,L2,39,Я  ищу  свою сумку.  ,5,refl1
75457071,574,L2,41,Библиотеке читают студенты книги  в. ,1,ungram
75457071,574,L2,45,Большом в живет городе много  людей. ,1,ungram
75457071,574,L2,47,Я убираю мой дом. ,5,prn1
75457071,574,L2,49,Дима купил дом ОН ЛЮБИТ СВОЙ ДОМ.,5,refl3
75457071,574,L2,51,Я читаю свою книгу. ,5,refl1
75457071,574,L2,52,Машину в Дима новый среду купить. ,1,ungram
75457071,574,L2,53,Коля потерял ключ. ОН ИЩЕТ СВОЙ КЛЮЧ. ,5,refl3
75457071,574,L2,55,Дима купил велосипед ОН ЛЮБИТ ЕГО ВЕЛОСИПЕД.,5,prn3
75457071,574,L2,56,Бассейне я в плавать люблю. ,1,ungram
75457071,574,L2,57,Я ищу мой паспорт. ,5,prn1
75457071,574,L2,59,Коля потерял телефон ОН ИЩЕТ СВОЙ ТЕЛЕФОН.,5,refl3
75457071,574,L2,60,Дерево белка на живет большом. ,1,ungram
75457071,574,L2,62,Я  продаю мою машину. ,5,prn1
75457071,574,L2,63,Часто я гуляю парк в. ,2,ungram
75457071,574,L2,64,Вика потеряла книгу ОНА ИЩЕТ ЕЕ КНИГУ.,4,prn3
75457071,574,L2,66,Мальчик в играет парке маленький. ,1,ungram
75457071,574,L2,68,День Лена читает каждый книгу. ,1,ungram
75457071,574,L2,70,Анна купила собаку ОНА ЛЮБИТ ЕЕ СОБАКУ.,5,prn3
75457071,574,L2,71,Вчера собака Петя терять своя. ,1,ungram
75457071,574,L2,72,Я читаю мой учебник. ,5,prn1
75457071,574,L2,73,Летела по самолет небу большая.        ,1,ungram
75457071,574,L2,74,Дима купил дом ОН ЛЮБИТ ЕГО ДОМ.,5,prn3
75457071,574,L2,76,Я  убираю свою комнату. ,5,refl1
75457071,574,L2,77,Фильмы известных без aктер были cкучными. ,2,ungram
75457071,574,L2,78,Анна купила квартиру ОНА ЛЮБИТ СВОЮ КВАРТИРУ.,5,refl3
75457071,574,L2,79,Я ем мой завтрак. ,5,prn1
75457071,574,L2,80,Вика потеряла кошку ОНА ПОТЕРЯЛА ЕЕ КОШКУ.,5,prn3
75555807,1658,L2,1,Вика потеряла кошку ОНА ИЩЕТ СВОЮ КОШКУ.,2,refl3
75555807,1658,L2,3,Обед на ест суп редко Петя. ,2,ungram
75555807,1658,L2,4,Я ем свой завтрак. ,5,refl1
75555807,1658,L2,7,Коля потерял телефон ОН ИЩЕТ ЕГО ТЕЛЕФОН.,5,prn3
75555807,1658,L2,8,Я продаю свою машину. ,5,refl1
75555807,1658,L2,10,Я читаю свой учебник. ,5,refl1
75555807,1658,L2,12,Я  ищу мою сумку.             ,4,prn1
75555807,1658,L2,14,Вика потеряла книгу ОНА ИЩЕТ СВОЮ КНИГУ.,5,refl3
75555807,1658,L2,16,Коля потерял ключ ОН ИЩЕТ ЕГО КЛЮЧ.,5,prn3
75555807,1658,L2,17,Книги городам русских о.  ,2,ungram
75555807,1658,L2,18,Анна купила квартиру ОНА ЛЮБИТ ЕЁ КВАРТИРУ.,5,prn3
75555807,1658,L2,20,Я ищу свой паспорт. ,4,refl1
75555807,1658,L2,21,Анна купила собаку ОНА ЛЮБИТ СВОЮ СОБАКУ.,5,refl3
75555807,1658,L2,23,Я убираю мою комнату. ,4,prn1
75555807,1658,L2,27,Дима купил велосипед ОН ЛЮБИТ СВОЙ ВЕЛОСИПЕД.,5,refl3
75555807,1658,L2,28,Учителя русский были хорошими языка. ,2,ungram
75555807,1658,L2,32,Петя ел рыба картошка c. ,2,ungram
75555807,1658,L2,33,Я  убираю свой дом. ,5,refl1
75555807,1658,L2,35,Столе лежат и книги журналы на. ,3,ungram
75555807,1658,L2,37,Я читаю мою книгу.   ,5,prn1
75555807,1658,L2,39,Я  ищу  свою сумку.  ,5,refl1
75555807,1658,L2,41,Библиотеке читают студенты книги  в. ,3,ungram
75555807,1658,L2,45,Большом в живет городе много  людей. ,2,ungram
75555807,1658,L2,47,Я убираю мой дом. ,4,prn1
75555807,1658,L2,49,Дима купил дом ОН ЛЮБИТ СВОЙ ДОМ.,5,refl3
75555807,1658,L2,51,Я читаю свою книгу. ,5,refl1
75555807,1658,L2,52,Машину в Дима новый среду купить. ,2,ungram
75555807,1658,L2,53,Коля потерял ключ. ОН ИЩЕТ СВОЙ КЛЮЧ. ,5,refl3
75555807,1658,L2,55,Дима купил велосипед ОН ЛЮБИТ ЕГО ВЕЛОСИПЕД.,5,prn3
